"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8083","1. Authorization","webkit","Thu Nov 21 14:52:56 GMT 2024","passed","Thu Nov 21 14:53:04 GMT 2024","dev.topklik.online","all.test.js","",""
"","5831","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 14:53:08 GMT 2024","passed","Thu Nov 21 14:53:14 GMT 2024","dev.topklik.online","all.test.js","",""
"","6135","1. Authorization","chromium","Thu Nov 21 14:52:49 GMT 2024","passed","Thu Nov 21 14:52:55 GMT 2024","dev.topklik.online","all.test.js","",""
"","5501","2. ""Hide tabletop"" test","firefox","Thu Nov 21 14:52:39 GMT 2024","failed","Thu Nov 21 14:52:45 GMT 2024","dev.topklik.online","all.test.js","",""
"","6351","1. Authorization","firefox","Thu Nov 21 14:52:18 GMT 2024","passed","Thu Nov 21 14:52:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","25636","4. E2E test","firefox","Thu Nov 21 14:53:46 GMT 2024","failed","Thu Nov 21 14:54:12 GMT 2024","dev.topklik.online","all.test.js","",""
"","18420","4. E2E test","chromium","Thu Nov 21 14:52:49 GMT 2024","passed","Thu Nov 21 14:53:07 GMT 2024","dev.topklik.online","all.test.js","",""
"","9876","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 14:52:08 GMT 2024","passed","Thu Nov 21 14:52:18 GMT 2024","dev.topklik.online","all.test.js","",""
"","15432","4. E2E test","webkit","Thu Nov 21 14:54:06 GMT 2024","failed","Thu Nov 21 14:54:21 GMT 2024","dev.topklik.online","all.test.js","",""
"","5010","2. ""Hide tabletop"" test","webkit","Thu Nov 21 14:53:18 GMT 2024","failed","Thu Nov 21 14:53:23 GMT 2024","dev.topklik.online","all.test.js","",""
"","4777","2. ""Hide tabletop"" test","chromium","Thu Nov 21 14:52:22 GMT 2024","failed","Thu Nov 21 14:52:27 GMT 2024","dev.topklik.online","all.test.js","",""
"","25587","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 14:53:24 GMT 2024","failed","Thu Nov 21 14:53:50 GMT 2024","dev.topklik.online","all.test.js","",""
